ntacode,nta_name,borough_code,borough_name,ntatype,ntaabbrev,ntatype_label,is_residential,nta_short
QN1003,Howard Beach-Lindenwood,4,Queens,0,HwrdBch,Residential/Mixed,True,QN-QN1003
QN1091,Spring Creek Park,4,Queens,9,SpCrkPk,Park/Recreation,False,QN-QN1091
QN1101,Auburndale,4,Queens,0,Abrndl,Residential/Mixed,True,QN-QN1101
QN1102,Bayside,4,Queens,0,Bysd,Residential/Mixed,True,QN-QN1102
QN1103,Douglaston-Little Neck,4,Queens,0,Dglstn,Residential/Mixed,True,QN-QN1103
QN1104,Oakland Gardens-Hollis Hills,4,Queens,0,OklndGrdns,Residential/Mixed,True,QN-QN1104
QN1191,Alley Pond Park,4,Queens,9,AllyPndPk,Park/Recreation,False,QN-QN1191
QN1201,Jamaica,4,Queens,0,Jmca,Residential/Mixed,True,QN-QN1201
QN1202,South Jamaica,4,Queens,0,SthJmca,Residential/Mixed,True,QN-QN1202
QN1203,Baisley Park,4,Queens,0,BslyPk,Residential/Mixed,True,QN-QN1203
QN1204,Springfield Gardens (North)-Rochdale Village,4,Queens,0,SpfGrdns_N,Residential/Mixed,True,QN-QN1204
QN1205,St. Albans,4,Queens,0,StAlbns,Residential/Mixed,True,QN-QN1205
QN1206,Hollis,4,Queens,0,Hlls,Residential/Mixed,True,QN-QN1206
QN1301,Glen Oaks-Floral Park-New Hyde Park,4,Queens,0,GlnOks,Residential/Mixed,True,QN-QN1301
QN1302,Bellerose,4,Queens,0,Bllrs,Residential/Mixed,True,QN-QN1302
QN1303,Queens Village,4,Queens,0,QnsVlg,Residential/Mixed,True,QN-QN1303
QN1304,Cambria Heights,4,Queens,0,CmbriaHts,Residential/Mixed,True,QN-QN1304
QN1305,Laurelton,4,Queens,0,Lrltn,Residential/Mixed,True,QN-QN1305
QN1306,Springfield Gardens (South)-Brookville,4,Queens,0,SpfGrdns_S,Residential/Mixed,True,QN-QN1306
QN1307,Rosedale,4,Queens,0,Rsdl,Residential/Mixed,True,QN-QN1307
QN1371,Montefiore Cemetery,4,Queens,7,MntfrCem,Airport,False,QN-QN1371
QN1401,Far Rockaway-Bayswater,4,Queens,0,FrRckwy,Residential/Mixed,True,QN-QN1401
QN1402,Rockaway Beach-Arverne-Edgemere,4,Queens,0,RckwyBch,Residential/Mixed,True,QN-QN1402
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4,Queens,0,BrzyPt,Residential/Mixed,True,QN-QN1403
QN1491,Rockaway Community Park,4,Queens,9,RckwyCPk,Park/Recreation,False,QN-QN1491
QN8081,LaGuardia Airport,4,Queens,8,LGA,Cemetery,False,QN-QN8081
QN8191,Flushing Meadows-Corona Park,4,Queens,9,FlshMdwCPk,Park/Recreation,False,QN-QN8191
QN8291,Forest Park,4,Queens,9,FrstPk,Park/Recreation,False,QN-QN8291
QN8381,John F. Kennedy International Airport,4,Queens,8,JFK,Cemetery,False,QN-QN8381
QN8491,Jamaica Bay (East),4,Queens,9,JmcaBy_E,Park/Recreation,False,QN-QN8491
